"","id","name","parameters_id","datetime_first_utc","datetime_first_local","datetime_last_utc","datetime_last_local","min","max","avg","expected_count","expected_interval","observed_count","observed_interval","percent_complete","percent_coverage","latest_value","latest_datetime","latest_latitude","latest_longitude"
"1082",7774077,"pm25 µg/m³",2,2024-01-28 23:00:00,2024-01-29,2025-08-29 04:00:00,2025-08-29 06:00:00,-1,269,6.1291723202171,1,"01:00:00",7465,"7465:00:00",746500,746500,0,2025-08-29 04:00:00,39.6788330003345,2.68777799977216
"1083",8624472,"pm25 µg/m³",2,2024-03-23 18:00:00,2024-03-23 19:00:00,2025-08-30,2025-08-30 02:00:00,-1,162,8.11330049261084,1,"01:00:00",5335,"5335:00:00",533500,533500,12,2025-08-30,39.5712499997646,2.65702800014849
"1084",8624473,"pm10 µg/m³",1,2024-03-23 18:00:00,2024-03-23 19:00:00,2025-08-30,2025-08-30 02:00:00,-1,199,17.5852307692308,1,"01:00:00",5744,"5744:00:00",574400,574400,18,2025-08-30,39.5712499997646,2.65702800014849
"1085",8625970,"pm10 µg/m³",1,2024-03-23 21:00:00,2024-03-23 22:00:00,2025-08-30 03:00:00,2025-08-30 05:00:00,-1,1003,15.615496054115,1,"01:00:00",6036,"6036:00:00",603600,603600,20,2025-08-30 03:00:00,39.564528000249,2.6216940000379
"1086",7775167,"pm10 µg/m³",1,2024-01-28 23:00:00,2024-01-29,2025-08-29 04:00:00,2025-08-29 06:00:00,-1,443,10.9444267007346,1,"01:00:00",5126,"5126:00:00",512600,512600,15,2025-08-29 04:00:00,39.7484719997764,3.01599999970793
"1087",7773665,"pm10 µg/m³",1,2024-01-28 23:00:00,2024-01-29,2025-08-29 04:00:00,2025-08-29 06:00:00,-1,286,8.39374802652352,1,"01:00:00",5022,"5022:00:00",502200,502200,12,2025-08-29 04:00:00,39.7911670001777,3.07525000034123
"1088",7775326,"pm10 µg/m³",1,2024-01-28 23:00:00,2024-01-29,2025-08-29 04:00:00,2025-08-29 06:00:00,-1,188,12.1714647263524,1,"01:00:00",5236,"5236:00:00",523600,523600,28,2025-08-29 04:00:00,39.8925890003112,4.25703099989957
"1089",8622272,"pm10 µg/m³",1,2024-03-23 18:00:00,2024-03-23 19:00:00,2025-08-29 17:00:00,2025-08-29 19:00:00,-1,588,17.8727461389961,1,"01:00:00",5662,"5662:00:00",566200,566200,13,2025-08-29 17:00:00,40.010610999753,3.85758300042411
"1090",8622326,"pm25 µg/m³",2,2024-03-23 18:00:00,2024-03-23 19:00:00,2025-08-29 17:00:00,2025-08-29 19:00:00,-1,96.04,7.77757955641273,1,"01:00:00",5727,"5727:00:00",572700,572700,7,2025-08-29 17:00:00,40.010610999753,3.85758300042411
"1091",7773849,"pm25 µg/m³",2,2024-01-28 23:00:00,2024-01-29,2025-08-29 09:00:00,2025-08-29 11:00:00,-1,73,6.23831775700935,1,"01:00:00",4850,"4850:00:00",485000,485000,51,2025-08-29 09:00:00,40.5684000002562,-3.2702000000704
"1092",7772818,"pm25 µg/m³",2,2024-01-28 23:00:00,2024-01-29,2025-08-29 20:00:00,2025-08-29 22:00:00,-1,94,5.02857142857143,1,"01:00:00",3879,"3879:00:00",387900,387900,4,2025-08-29 20:00:00,39.5768999998248,-3.86519999987279
"1093",7774786,"pm10 µg/m³",1,2024-01-28 23:00:00,2024-01-29,2025-08-29 20:00:00,2025-08-29 22:00:00,-1,200,12.2128733697939,1,"01:00:00",3920,"3920:00:00",392000,392000,14,2025-08-29 20:00:00,39.5768999998248,-3.86519999987279
"1094",7772943,"pm10 µg/m³",1,2024-01-28 23:00:00,2024-01-29,2025-08-29 22:00:00,2025-08-30,-1,776,26.0456047587574,1,"01:00:00",3687,"3687:00:00",368700,368700,32,2025-08-29 22:00:00,38.9808000002966,-1.84519999989446
"1095",7774356,"pm25 µg/m³",2,2024-01-28 23:00:00,2024-01-29,2025-08-29 22:00:00,2025-08-30,-1,870,7.12597402597403,1,"01:00:00",3801,"3801:00:00",380100,380100,6,2025-08-29 22:00:00,38.9808000002966,-1.84519999989446
"1096",7775929,"pm25 µg/m³",2,2024-01-28 23:00:00,2024-01-29,2025-08-29 09:00:00,2025-08-29 11:00:00,-1,399,7.59585798816568,1,"01:00:00",3437,"3437:00:00",343700,343700,7,2025-08-29 09:00:00,38.6790999999795,-4.10780000017419
"1097",7774132,"pm10 µg/m³",1,2024-01-28 23:00:00,2024-01-29,2025-08-29 04:00:00,2025-08-29 06:00:00,-1,266,19.5641627543036,1,"01:00:00",2533,"2533:00:00",253300,253300,16,2025-08-29 04:00:00,39.963799999717,-4.82569999981045
"1098",8622305,"pm25 µg/m³",2,2024-03-18 07:00:00,2024-03-18 08:00:00,2025-08-29 19:00:00,2025-08-29 21:00:00,-1,391,6.24116424116424,1,"01:00:00",2926,"2926:00:00",292600,292600,5,2025-08-29 19:00:00,40.5684000002562,-3.2702000000704
"1099",8613473,"pm10 µg/m³",1,2024-03-18 07:00:00,2024-03-18 08:00:00,2025-08-28 20:00:00,2025-08-28 22:00:00,-1,299,13.0328667072428,1,"01:00:00",3148,"3148:00:00",314800,314800,17,2025-08-28 20:00:00,39.5768999998248,-3.86519999987279
